location.name,date,event.count,treatment.name,duplicate,sample.id,analyte,result,units,non.detect,method,cas.number,mdl,rl,lab.id.x,dilution,result.reported.to,report.basis,percent.moisture,percent.solid,method.name,event.type,lab.id.y,matrix,collected,received,hold,flag
Kerbel,7/27/2022,Irr 4 rep 2,ST2,False,ST2-04-LC,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,ST2,True,ST2-04-LC-D,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,7/27/2022,Irr 4 rep 2,ST2,False,ST2-FF-04-GB,"Phosphorus, Total Orthophosphate (as P)",,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,CT1,False,CT1-0-LC,"Phosphorus, Total Orthophosphate (as P)",0.015,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,,False,KB-05-IN1,"Phosphorus, Total Orthophosphate (as P)",0.015,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,,True,KB-05-IN1-D,"Phosphorus, Total Orthophosphate (as P)",0.015,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,MT1,False,MT1-05-LC,"Phosphorus, Total Orthophosphate (as P)",0.015,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,MT1,True,MT1-05-LC-D,"Phosphorus, Total Orthophosphate (as P)",0.015,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,ST1,False,ST1-05-LC,"Phosphorus, Total Orthophosphate (as P)",0.015,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/10/2022,Irr 5 rep 1,ST1,True,ST1-05-LC-D,"Phosphorus, Total Orthophosphate (as P)",0.015,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,,False,KB-05-IN2,"Phosphorus, Total Orthophosphate (as P)",0.13,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,,True,KB-05-IN2-D,"Phosphorus, Total Orthophosphate (as P)",0.12,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,MT2,False,MT2-05-LC,"Phosphorus, Total Orthophosphate (as P)",0.24,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,MT2,True,MT2-05-LC-D,"Phosphorus, Total Orthophosphate (as P)",0.2,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,ST2,False,ST2-05-LC,"Phosphorus, Total Orthophosphate (as P)",0.18,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/11/2022,Irr 5 rep 2,ST2,True,ST2-05-LC-D,"Phosphorus, Total Orthophosphate (as P)",0.16,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/25/2022,Irr 6 rep 1,CT1,False,CT1-06-LC-1,"Phosphorus, Total Orthophosphate (as P)",0.15,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/25/2022,Irr 6 rep 1,CT1,True,CT1-06-LC-1-D,"Phosphorus, Total Orthophosphate (as P)",0.13,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/25/2022,Irr 6 rep 1,,False,KB-06-IN1-1,"Phosphorus, Total Orthophosphate (as P)",0.13,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/25/2022,Irr 6 rep 1,,True,KB-06-IN1-1-D,"Phosphorus, Total Orthophosphate (as P)",0.48,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
Kerbel,8/25/2022,Irr 6 rep 1,MT1,False,MT1-06-LC-1,"Phosphorus, Total Orthophosphate (as P)",0.12,mg/L,False,SM4500P E - P-Ortho M4500P E,7723-14-0,0.01,0.05,,,,,,,,,,,,,,
